Number,Date,Day,Hour,Transfer,Strain,Treatment,Replicate,RF,Rfctrl
59,2015-01-17,4,96,K,169-30,2,3,1986.24,17.34
60,2015-01-17,4,96,K,164-11,2,3,7828.81,17.34
61,2015-01-17,4,96,K,156-4,12,3,1136.75,15.89
62,2015-01-17,4,96,K,167-7,12,3,44572.36,15.89
63,2015-01-17,4,96,K,168-16,12,3,2592.3,15.89
64,2015-01-17,4,96,K,169-30,12,3,4950.32,15.89
40,2015-01-17,4,96,K,164-11,12,2,13289.95,15.89
66,2015-01-17,4,96,K,156-4,24,3,4627.84,15.71
67,2015-01-17,4,96,K,167-7,24,3,33701.19,15.71
68,2015-01-17,4,96,K,168-16,24,3,1713.72,15.71
69,2015-01-17,4,96,K,169-30,24,3,5756.2,15.71
70,2015-01-17,4,96,K,164-11,24,3,7596.45,15.71
1,2015-01-18,5,120,K,156-4,0,1,NA,NA
52,2015-01-18,5,120,K,167-7,0,3,NA,NA
53,2015-01-18,5,120,K,168-16,0,3,NA,NA
54,2015-01-18,5,120,K,169-30,0,3,NA,NA
55,2015-01-18,5,120,K,164-11,0,3,NA,NA
56,2015-01-18,5,120,K,156-4,2,3,NA,NA
57,2015-01-18,5,120,K,167-7,2,3,NA,NA
59,2015-01-18,5,120,K,169-30,2,3,NA,NA
60,2015-01-18,5,120,K,164-11,2,3,NA,NA
61,2015-01-18,5,120,K,156-4,12,3,NA,NA
62,2015-01-18,5,120,K,167-7,12,3,NA,NA
63,2015-01-18,5,120,K,168-16,12,3,NA,NA
64,2015-01-18,5,120,K,169-30,12,3,NA,NA
40,2015-01-18,5,120,K,164-11,12,2,NA,NA
66,2015-01-18,5,120,K,156-4,24,3,NA,NA
67,2015-01-18,5,120,K,167-7,24,3,NA,NA
68,2015-01-18,5,120,K,168-16,24,3,NA,NA
69,2015-01-18,5,120,K,169-30,24,3,NA,NA
70,2015-01-18,5,120,K,164-11,24,3,NA,NA
1,2015-01-19,6,144,K,156-4,0,1,47725.71,14.71
52,2015-01-19,6,144,K,167-7,0,3,16369.57,14.71
53,2015-01-19,6,144,K,168-16,0,3,40601.68,14.71
54,2015-01-19,6,144,K,169-30,0,3,39797,14.71
55,2015-01-19,6,144,K,164-11,0,3,47127.52,14.71
56,2015-01-19,6,144,K,156-4,2,3,367.15,15.94
57,2015-01-19,6,144,K,167-7,2,3,63346.86,15.94
59,2015-01-19,6,144,K,169-30,2,3,7315.38,15.94
60,2015-01-19,6,144,K,164-11,2,3,17030.57,15.94
61,2015-01-19,6,144,K,156-4,12,3,3311.83,15.67
62,2015-01-19,6,144,K,167-7,12,3,109728.25,15.67
63,2015-01-19,6,144,K,168-16,12,3,3626.56,15.67
64,2015-01-19,6,144,K,169-30,12,3,26767.27,15.67
40,2015-01-19,6,144,K,164-11,12,2,23553.22,15.67
66,2015-01-19,6,144,K,156-4,24,3,14608.75,16.22
67,2015-01-19,6,144,K,167-7,24,3,75284.63,16.22
68,2015-01-19,6,144,K,168-16,24,3,1996.16,16.22
69,2015-01-19,6,144,K,169-30,24,3,8916.26,16.22
70,2015-01-19,6,144,K,164-11,24,3,10445.73,16.22
1,2015-01-20,7,168,K,156-4,0,1,51681.41,14.47
52,2015-01-20,7,168,K,167-7,0,3,15513.19,14.47
53,2015-01-20,7,168,K,168-16,0,3,57799.02,14.47
54,2015-01-20,7,168,K,169-30,0,3,53015.14,14.47
55,2015-01-20,7,168,K,164-11,0,3,68226.68,14.47
56,2015-01-20,7,168,K,156-4,2,3,665.05,16.1
57,2015-01-20,7,168,K,167-7,2,3,84893.6,16.1
59,2015-01-20,7,168,K,169-30,2,3,16522.32,16.1
60,2015-01-20,7,168,K,164-11,2,3,21027.92,16.1
61,2015-01-20,7,168,K,156-4,12,3,6158.88,15.31
62,2015-01-20,7,168,K,167-7,12,3,191898.7,15.31
63,2015-01-20,7,168,K,168-16,12,3,6087,15.31
64,2015-01-20,7,168,K,169-30,12,3,37963.87,15.31
40,2015-01-20,7,168,K,164-11,12,2,37152,15.31
66,2015-01-20,7,168,K,156-4,24,3,21581.63,19.34
67,2015-01-20,7,168,K,167-7,24,3,120568.72,19.34
68,2015-01-20,7,168,K,168-16,24,3,2317.23,19.34
69,2015-01-20,7,168,K,169-30,24,3,9707.94,19.34
70,2015-01-20,7,168,K,164-11,24,3,14360.78,19.34
1,2015-01-21,7,0,L,156-4,0,1,NA,NA
