Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
10,salinity,2014-12-09,15,96,C,164-11,ASW,21,2,1,10435.71,19.05
11,salinity,2014-12-09,15,96,C,156-4,ASW,21,12,1,85724.32,15.73
12,salinity,2014-12-09,15,96,C,167-7,ASW,21,12,1,34738.63,15.73
13,salinity,2014-12-09,15,96,C,168-16,ASW,21,12,1,4101.44,15.73
14,salinity,2014-12-09,15,96,C,169-30,ASW,21,12,1,28366.68,15.73
15,salinity,2014-12-09,15,96,C,164-11,ASW,21,12,1,20232.04,15.73
16,salinity,2014-12-09,15,96,C,156-4,ASW,21,24,1,85999.37,17.61
17,salinity,2014-12-09,15,96,C,167-7,ASW,21,24,1,103396.57,17.61
18,salinity,2014-12-09,15,96,C,168-16,ASW,21,24,1,59546.55,17.61
19,salinity,2014-12-09,15,96,C,169-30,ASW,21,24,1,83562.1,17.61
20,salinity,2014-12-09,15,96,C,164-11,ASW,21,24,1,26947.32,17.61
21,salinity,2014-12-09,15,96,C,156-4,ASW,21,36,1,11190.02,21.91
22,salinity,2014-12-09,15,96,C,167-7,ASW,21,36,1,39831.35,21.91
23,salinity,2014-12-09,15,96,C,168-16,ASW,21,36,1,3815.4,21.91
24,salinity,2014-12-09,15,96,C,169-30,ASW,21,36,1,14633.51,21.91
25,salinity,2014-12-09,15,96,C,164-11,ASW,21,36,1,24215.57,21.91
