Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
15,temperature,2015-01-17,2,48,A,168-16,WC,21,WC21,1,23559.72,15.85
16,temperature,2015-01-17,2,48,A,168-16,WC,15,WC15,1,13443.98,15.85
17,temperature,2015-01-17,2,48,A,168-16,ASW,21,ASW21,2,20457.03,15.85
18,temperature,2015-01-17,2,48,A,168-16,ASW,15,ASW15,2,16765.42,15.85
19,temperature,2015-01-17,2,48,A,168-16,WC,21,WC21,2,18025.67,15.85
20,temperature,2015-01-17,2,48,A,168-16,WC,15,WC15,2,11665.96,15.85
21,temperature,2015-01-17,2,48,A,168-16,ASW,21,ASW21,3,21001.71,15.85
22,temperature,2015-01-17,2,48,A,168-16,ASW,15,ASW15,3,17032.99,15.85
23,temperature,2015-01-17,2,48,A,168-16,WC,21,WC21,3,14120.28,15.85
24,temperature,2015-01-17,2,48,A,168-16,WC,15,WC15,3,18342.84,15.85
1,temperature,2015-01-18,3,72,A,156-4,ASW,21,ASW21,1,53706.66,15.06
2,temperature,2015-01-18,3,72,A,156-4,ASW,15,ASW15,1,20150.1,15.06
3,temperature,2015-01-18,3,72,A,156-4,WC,21,WC21,1,39378.22,15.06
4,temperature,2015-01-18,3,72,A,156-4,WC,15,WC15,1,25603.35,15.06
5,temperature,2015-01-18,3,72,A,156-4,ASW,21,ASW21,2,38768.67,15.06
6,temperature,2015-01-18,3,72,A,156-4,ASW,15,ASW15,2,30002.22,15.06
7,temperature,2015-01-18,3,72,A,156-4,WC,21,WC21,2,40106.09,15.06
8,temperature,2015-01-18,3,72,A,156-4,WC,15,WC15,2,24743.52,15.06
9,temperature,2015-01-18,3,72,A,156-4,ASW,21,ASW21,3,37450.54,15.06
10,temperature,2015-01-18,3,72,A,156-4,ASW,15,ASW15,3,28925.3,15.06
11,temperature,2015-01-18,3,72,A,156-4,WC,21,WC21,3,38910.48,15.06
12,temperature,2015-01-18,3,72,A,156-4,WC,15,WC15,3,27483.65,15.06
13,temperature,2015-01-18,3,72,A,168-16,ASW,21,ASW21,1,39597.72,15.06
14,temperature,2015-01-18,3,72,A,168-16,ASW,15,ASW15,1,22069.18,15.06
15,temperature,2015-01-18,3,72,A,168-16,WC,21,WC21,1,35188.94,15.06
16,temperature,2015-01-18,3,72,A,168-16,WC,15,WC15,1,24367.36,15.06
17,temperature,2015-01-18,3,72,A,168-16,ASW,21,ASW21,2,36314.01,15.06
18,temperature,2015-01-18,3,72,A,168-16,ASW,15,ASW15,2,21625.76,15.06
19,temperature,2015-01-18,3,72,A,168-16,WC,21,WC21,2,26952.48,15.06
20,temperature,2015-01-18,3,72,A,168-16,WC,15,WC15,2,20183.79,15.06
21,temperature,2015-01-18,3,72,A,168-16,ASW,21,ASW21,3,38163.7,15.06
22,temperature,2015-01-18,3,72,A,168-16,ASW,15,ASW15,3,21070,15.06
23,temperature,2015-01-18,3,72,A,168-16,WC,21,WC21,3,22555.93,15.06
24,temperature,2015-01-18,3,72,A,168-16,WC,15,WC15,3,25978.52,15.06
1,temperature,2015-01-19,4,96,A,156-4,ASW,21,ASW21,1,68360.33,15.64
2,temperature,2015-01-19,4,96,A,156-4,ASW,15,ASW15,1,29868.69,15.64
3,temperature,2015-01-19,4,96,A,156-4,WC,21,WC21,1,52093.48,15.64
4,temperature,2015-01-19,4,96,A,156-4,WC,15,WC15,1,42576.93,15.64
5,temperature,2015-01-19,4,96,A,156-4,ASW,21,ASW21,2,55312.45,15.64
6,temperature,2015-01-19,4,96,A,156-4,ASW,15,ASW15,2,42739.9,15.64
7,temperature,2015-01-19,4,96,A,156-4,WC,21,WC21,2,52351.68,15.64
