Number,Date,Day,Hour,Transfer,Strain,Treatment,Replicate,RF,Rfctrl
402,2015-01-09,30,96,I,167-7,0,2,36836.78,16.9
403,2015-01-09,30,96,I,168-16,0,2,45333.1,16.9
404,2015-01-09,30,96,I,169-30,0,2,34735.73,16.9
405,2015-01-09,30,96,I,164-11,0,2,39047.49,16.9
406,2015-01-09,30,96,I,156-4,2,2,27368.5,18.89
407,2015-01-09,30,96,I,167-7,2,2,53339.18,18.89
408,2015-01-09,30,96,I,168-16,2,2,3313.33,18.89
409,2015-01-09,30,96,I,169-30,2,2,38404.43,18.89
410,2015-01-09,30,96,I,164-11,2,2,29084.4,18.89
411,2015-01-09,30,96,I,156-4,12,2,29549.62,18.28
412,2015-01-09,30,96,I,167-7,12,2,62559.86,18.28
413,2015-01-09,30,96,I,168-16,12,2,26778.2,18.28
414,2015-01-09,30,96,I,169-30,12,2,29951.77,18.28
415,2015-01-09,30,96,I,164-11,12,2,28776.78,18.28
416,2015-01-09,30,96,I,156-4,24,2,24404.4,20.26
417,2015-01-09,30,96,I,167-7,24,2,45119.23,20.26
418,2015-01-09,30,96,I,168-16,24,2,21033.25,20.26
419,2015-01-09,30,96,I,169-30,24,2,32793.21,20.26
420,2015-01-09,30,96,I,164-11,24,2,20084.35,20.26
421,2015-01-09,30,96,I,156-4,36,2,27685.25,22.09
422,2015-01-09,30,96,I,167-7,36,2,16381.9,22.09
423,2015-01-09,30,96,I,168-16,36,2,7307.94,22.09
424,2015-01-09,30,96,I,169-30,36,2,10849.31,22.09
425,2015-01-09,30,96,I,164-11,36,2,10416.35,22.09
426,2015-01-09,30,96,I,156-4,0,3,32577.28,16.9
427,2015-01-09,30,96,I,167-7,0,3,29102.36,16.9
428,2015-01-09,30,96,I,168-16,0,3,40538.77,16.9
429,2015-01-09,30,96,I,169-30,0,3,38434.32,16.9
430,2015-01-09,30,96,I,164-11,0,3,31009.46,16.9
431,2015-01-09,30,96,I,156-4,2,3,26752.26,18.89
432,2015-01-09,30,96,I,167-7,2,3,39992.36,18.89
433,2015-01-09,30,96,I,168-16,2,3,4242.98,18.89
434,2015-01-09,30,96,I,169-30,2,3,29435.7,18.89
435,2015-01-09,30,96,I,164-11,2,3,28862.24,18.89
436,2015-01-09,30,96,I,156-4,12,3,31655.17,18.28
437,2015-01-09,30,96,I,167-7,12,3,56039.75,18.28
438,2015-01-09,30,96,I,168-16,12,3,23032.08,18.28
439,2015-01-09,30,96,I,169-30,12,3,30703.14,18.28
440,2015-01-09,30,96,I,164-11,12,3,27907.21,18.28
441,2015-01-09,30,96,I,156-4,24,3,25552.55,20.26
442,2015-01-09,30,96,I,167-7,24,3,55306.98,20.26
443,2015-01-09,30,96,I,168-16,24,3,20005.92,20.26
444,2015-01-09,30,96,I,169-30,24,3,30899.28,20.26
445,2015-01-09,30,96,I,164-11,24,3,22179.88,20.26
446,2015-01-09,30,96,I,156-4,36,3,17596.72,22.09
447,2015-01-09,30,96,I,167-7,36,3,17999.63,22.09
448,2015-01-09,30,96,I,168-16,36,3,12472.37,22.09
449,2015-01-09,30,96,I,169-30,36,3,8935.7,22.09
450,2015-01-09,30,96,I,164-11,36,3,8438.77,22.09
451,2015-01-09,30,0,J,156-4,0,1,10349.61,16.9
452,2015-01-09,30,0,J,167-7,0,1,9282.3,16.9
453,2015-01-09,30,0,J,168-16,0,1,8547.06,16.9
454,2015-01-09,30,0,J,169-30,0,1,9153.17,16.9
455,2015-01-09,30,0,J,164-11,0,1,9076.72,16.9
456,2015-01-09,30,0,J,156-4,2,1,9403.45,18.89
457,2015-01-09,30,0,J,167-7,2,1,8505.29,18.89
458,2015-01-09,30,0,J,168-16,2,1,3006.43,18.89
459,2015-01-09,30,0,J,169-30,2,1,8214.34,18.89
460,2015-01-09,30,0,J,164-11,2,1,9091.28,18.89
461,2015-01-09,30,0,J,156-4,12,1,8433.9,18.28
462,2015-01-09,30,0,J,167-7,12,1,8864.33,18.28
463,2015-01-09,30,0,J,168-16,12,1,8980.09,18.28
464,2015-01-09,30,0,J,169-30,12,1,7483.6,18.28
465,2015-01-09,30,0,J,164-11,12,1,10893.33,18.28
466,2015-01-09,30,0,J,156-4,24,1,9399.12,20.26
467,2015-01-09,30,0,J,167-7,24,1,9777.41,20.26
468,2015-01-09,30,0,J,168-16,24,1,9699.64,20.26
469,2015-01-09,30,0,J,169-30,24,1,9726.73,20.26
470,2015-01-09,30,0,J,164-11,24,1,16733.32,20.26
471,2015-01-09,30,0,J,156-4,36,1,11182.22,22.09
472,2015-01-09,30,0,J,167-7,36,1,11563.52,22.09
473,2015-01-09,30,0,J,168-16,36,1,11927.52,22.09
474,2015-01-09,30,0,J,169-30,36,1,10763.29,22.09
475,2015-01-09,30,0,J,164-11,36,1,12131.34,22.09
476,2015-01-09,30,0,J,156-4,0,2,10214.18,16.9
477,2015-01-09,30,0,J,167-7,0,2,9783.33,16.9
478,2015-01-09,30,0,J,168-16,0,2,9240.96,16.9
479,2015-01-09,30,0,J,169-30,0,2,9812.85,16.9
480,2015-01-09,30,0,J,164-11,0,2,11266.9,16.9
481,2015-01-09,30,0,J,156-4,2,2,8959.17,18.89
482,2015-01-09,30,0,J,167-7,2,2,8682.56,18.89
483,2015-01-09,30,0,J,168-16,2,2,3158.97,18.89
484,2015-01-09,30,0,J,169-30,2,2,8103.78,18.89
485,2015-01-09,30,0,J,164-11,2,2,8722.04,18.89
486,2015-01-09,30,0,J,156-4,12,2,9497.21,18.28
487,2015-01-09,30,0,J,167-7,12,2,8385.79,18.28
488,2015-01-09,30,0,J,168-16,12,2,8791.4,18.28
489,2015-01-09,30,0,J,169-30,12,2,8587.47,18.28
490,2015-01-09,30,0,J,164-11,12,2,9984.63,18.28
491,2015-01-09,30,0,J,156-4,24,2,9666.66,20.26
492,2015-01-09,30,0,J,167-7,24,2,9230.61,20.26
493,2015-01-09,30,0,J,168-16,24,2,11226.2,20.26
494,2015-01-09,30,0,J,169-30,24,2,9353.04,20.26
495,2015-01-09,30,0,J,164-11,24,2,17994.48,20.26
496,2015-01-09,30,0,J,156-4,36,2,11608.38,22.09
497,2015-01-09,30,0,J,167-7,36,2,12550.73,22.09
498,2015-01-09,30,0,J,168-16,36,2,9763.4,22.09
499,2015-01-09,30,0,J,169-30,36,2,12183.75,22.09
500,2015-01-09,30,0,J,164-11,36,2,16378.93,22.09
501,2015-01-09,30,0,J,156-4,0,3,9603.34,16.9
502,2015-01-09,30,0,J,167-7,0,3,10733.84,16.9
503,2015-01-09,30,0,J,168-16,0,3,10175.67,16.9
504,2015-01-09,30,0,J,169-30,0,3,10103.96,16.9
505,2015-01-09,30,0,J,164-11,0,3,11224.84,16.9
506,2015-01-09,30,0,J,156-4,2,3,7803.6,18.89
507,2015-01-09,30,0,J,167-7,2,3,9904.19,18.89
508,2015-01-09,30,0,J,168-16,2,3,4380.98,18.89
509,2015-01-09,30,0,J,169-30,2,3,9791.56,18.89
510,2015-01-09,30,0,J,164-11,2,3,10206.81,18.89
511,2015-01-09,30,0,J,156-4,12,3,9890.87,18.28
512,2015-01-09,30,0,J,167-7,12,3,9139.95,18.28
513,2015-01-09,30,0,J,168-16,12,3,8814.22,18.28
514,2015-01-09,30,0,J,169-30,12,3,10820.75,18.28
515,2015-01-09,30,0,J,164-11,12,3,12904.78,18.28
516,2015-01-09,30,0,J,156-4,24,3,10036.25,20.26
517,2015-01-09,30,0,J,167-7,24,3,8794.43,20.26
518,2015-01-09,30,0,J,168-16,24,3,10599.44,20.26
519,2015-01-09,30,0,J,169-30,24,3,9566.83,20.26
520,2015-01-09,30,0,J,164-11,24,3,17009.62,20.26
521,2015-01-09,30,0,J,156-4,36,3,11343.79,22.09
522,2015-01-09,30,0,J,167-7,36,3,14022.5,22.09
523,2015-01-09,30,0,J,168-16,36,3,14181.6,22.09
524,2015-01-09,30,0,J,169-30,36,3,10525.78,22.09
525,2015-01-09,30,0,J,164-11,36,3,13668.59,22.09
451,2015-01-10,31,24,J,156-4,0,1,12432.78,16.85
452,2015-01-10,31,24,J,167-7,0,1,11776.58,16.85
453,2015-01-10,31,24,J,168-16,0,1,12586.66,16.85
454,2015-01-10,31,24,J,169-30,0,1,12110.38,16.85
455,2015-01-10,31,24,J,164-11,0,1,12631.74,16.85
456,2015-01-10,31,24,J,156-4,2,1,13157.88,17.75
457,2015-01-10,31,24,J,167-7,2,1,12666.08,17.75
458,2015-01-10,31,24,J,168-16,2,1,2169.46,17.75
459,2015-01-10,31,24,J,169-30,2,1,10234.68,17.75
460,2015-01-10,31,24,J,164-11,2,1,14669.34,17.75
461,2015-01-10,31,24,J,156-4,12,1,12417.29,17.96
462,2015-01-10,31,24,J,167-7,12,1,13507.86,17.96
463,2015-01-10,31,24,J,168-16,12,1,12771.98,17.96
464,2015-01-10,31,24,J,169-30,12,1,10938.52,17.96
465,2015-01-10,31,24,J,164-11,12,1,14451.57,17.96
466,2015-01-10,31,24,J,156-4,24,1,11263.83,19.74
467,2015-01-10,31,24,J,167-7,24,1,16188.4,19.74
468,2015-01-10,31,24,J,168-16,24,1,10623.77,19.74
469,2015-01-10,31,24,J,169-30,24,1,14170.48,19.74
470,2015-01-10,31,24,J,164-11,24,1,14318.45,19.74
471,2015-01-10,31,24,J,156-4,36,1,12107.51,20.54
472,2015-01-10,31,24,J,167-7,36,1,11243.22,20.54
473,2015-01-10,31,24,J,168-16,36,1,10146.81,20.54
474,2015-01-10,31,24,J,169-30,36,1,8462.19,20.54
475,2015-01-10,31,24,J,164-11,36,1,8512.32,20.54
476,2015-01-10,31,24,J,156-4,0,2,12929.88,16.85
477,2015-01-10,31,24,J,167-7,0,2,13081.32,16.85
478,2015-01-10,31,24,J,168-16,0,2,13042.76,16.85
479,2015-01-10,31,24,J,169-30,0,2,13395.64,16.85
480,2015-01-10,31,24,J,164-11,0,2,11160.61,16.85
481,2015-01-10,31,24,J,156-4,2,2,13332.96,17.75
482,2015-01-10,31,24,J,167-7,2,2,14696.64,17.75
483,2015-01-10,31,24,J,168-16,2,2,2557.37,17.75
484,2015-01-10,31,24,J,169-30,2,2,11618.13,17.75
485,2015-01-10,31,24,J,164-11,2,2,13505.64,17.75
486,2015-01-10,31,24,J,156-4,12,2,11570.56,17.96
487,2015-01-10,31,24,J,167-7,12,2,13895.91,17.96
488,2015-01-10,31,24,J,168-16,12,2,12912.49,17.96
489,2015-01-10,31,24,J,169-30,12,2,11861.57,17.96
490,2015-01-10,31,24,J,164-11,12,2,15419.61,17.96
491,2015-01-10,31,24,J,156-4,24,2,11794.66,19.74
492,2015-01-10,31,24,J,167-7,24,2,14090.96,19.74
493,2015-01-10,31,24,J,168-16,24,2,14148.33,19.74
494,2015-01-10,31,24,J,169-30,24,2,12499.33,19.74
495,2015-01-10,31,24,J,164-11,24,2,18404.6,19.74
496,2015-01-10,31,24,J,156-4,36,2,11998.85,20.54
497,2015-01-10,31,24,J,167-7,36,2,10741.63,20.54
498,2015-01-10,31,24,J,168-16,36,2,7437.41,20.54
499,2015-01-10,31,24,J,169-30,36,2,10139.4,20.54
500,2015-01-10,31,24,J,164-11,36,2,11490.83,20.54
501,2015-01-10,31,24,J,156-4,0,3,12295.41,16.85
502,2015-01-10,31,24,J,167-7,0,3,12341.77,16.85
503,2015-01-10,31,24,J,168-16,0,3,12954.12,16.85
504,2015-01-10,31,24,J,169-30,0,3,12532.63,16.85
505,2015-01-10,31,24,J,164-11,0,3,13496.82,16.85
506,2015-01-10,31,24,J,156-4,2,3,13370.76,17.75
507,2015-01-10,31,24,J,167-7,2,3,15468.94,17.75
508,2015-01-10,31,24,J,168-16,2,3,3335.64,17.75
509,2015-01-10,31,24,J,169-30,2,3,11689.89,17.75
510,2015-01-10,31,24,J,164-11,2,3,14947.37,17.75
511,2015-01-10,31,24,J,156-4,12,3,11864.06,17.96
512,2015-01-10,31,24,J,167-7,12,3,14477.98,17.96
513,2015-01-10,31,24,J,168-16,12,3,12321.43,17.96
514,2015-01-10,31,24,J,169-30,12,3,11988.63,17.96
515,2015-01-10,31,24,J,164-11,12,3,15700.48,17.96
516,2015-01-10,31,24,J,156-4,24,3,12906.78,19.74
517,2015-01-10,31,24,J,167-7,24,3,14458.73,19.74
518,2015-01-10,31,24,J,168-16,24,3,14121.52,19.74
519,2015-01-10,31,24,J,169-30,24,3,13957.07,19.74
520,2015-01-10,31,24,J,164-11,24,3,18588.65,19.74
521,2015-01-10,31,24,J,156-4,36,3,12411.56,20.54
522,2015-01-10,31,24,J,167-7,36,3,11869.37,20.54
523,2015-01-10,31,24,J,168-16,36,3,13417.62,20.54
524,2015-01-10,31,24,J,169-30,36,3,10075.62,20.54
525,2015-01-10,31,24,J,164-11,36,3,11148.38,20.54
451,2015-01-11,32,48,J,156-4,0,1,19037.27,16.63
452,2015-01-11,32,48,J,167-7,0,1,17230.32,16.63
453,2015-01-11,32,48,J,168-16,0,1,17660.54,16.63
454,2015-01-11,32,48,J,169-30,0,1,19285.87,16.63
455,2015-01-11,32,48,J,164-11,0,1,19285.15,16.63
456,2015-01-11,32,48,J,156-4,2,1,16510.14,17.76
457,2015-01-11,32,48,J,167-7,2,1,17488.89,17.76
458,2015-01-11,32,48,J,168-16,2,1,1676.55,17.76
459,2015-01-11,32,48,J,169-30,2,1,13495.23,17.76
460,2015-01-11,32,48,J,164-11,2,1,19291.39,17.76
461,2015-01-11,32,48,J,156-4,12,1,14971.11,17.2
462,2015-01-11,32,48,J,167-7,12,1,23960.86,17.2
463,2015-01-11,32,48,J,168-16,12,1,15436.77,17.2
464,2015-01-11,32,48,J,169-30,12,1,14053.88,17.2
465,2015-01-11,32,48,J,164-11,12,1,18864.55,17.2
466,2015-01-11,32,48,J,156-4,24,1,13511.59,19.75
467,2015-01-11,32,48,J,167-7,24,1,22920.74,19.75
468,2015-01-11,32,48,J,168-16,24,1,13807.47,19.75
469,2015-01-11,32,48,J,169-30,24,1,17155.24,19.75
470,2015-01-11,32,48,J,164-11,24,1,23606.37,19.75
471,2015-01-11,32,48,J,156-4,36,1,13798.71,21.77
472,2015-01-11,32,48,J,167-7,36,1,12645.62,21.77
473,2015-01-11,32,48,J,168-16,36,1,8187.34,21.77
474,2015-01-11,32,48,J,169-30,36,1,7850.57,21.77
475,2015-01-11,32,48,J,164-11,36,1,9097.5,21.77
476,2015-01-11,32,48,J,156-4,0,2,17765.12,16.63
477,2015-01-11,32,48,J,167-7,0,2,16806.02,16.63
478,2015-01-11,32,48,J,168-16,0,2,19016.4,16.63
479,2015-01-11,32,48,J,169-30,0,2,18004.35,16.63
480,2015-01-11,32,48,J,164-11,0,2,19252.23,16.63
481,2015-01-11,32,48,J,156-4,2,2,17344.67,17.76
482,2015-01-11,32,48,J,167-7,2,2,26348.7,17.76
483,2015-01-11,32,48,J,168-16,2,2,2146.7,17.76
484,2015-01-11,32,48,J,169-30,2,2,16291.39,17.76
485,2015-01-11,32,48,J,164-11,2,2,19464.78,17.76
486,2015-01-11,32,48,J,156-4,12,2,15544.27,17.2
487,2015-01-11,32,48,J,167-7,12,2,21932.23,17.2
488,2015-01-11,32,48,J,168-16,12,2,17085.12,17.2
489,2015-01-11,32,48,J,169-30,12,2,16940.41,17.2
490,2015-01-11,32,48,J,164-11,12,2,22180.92,17.2
491,2015-01-11,32,48,J,156-4,24,2,15328.67,19.75
492,2015-01-11,32,48,J,167-7,24,2,22334.83,19.75
493,2015-01-11,32,48,J,168-16,24,2,17633.9,19.75
494,2015-01-11,32,48,J,169-30,24,2,17030.63,19.75
495,2015-01-11,32,48,J,164-11,24,2,24394.26,19.75
496,2015-01-11,32,48,J,156-4,36,2,13292.84,21.77
497,2015-01-11,32,48,J,167-7,36,2,11616.24,21.77
498,2015-01-11,32,48,J,168-16,36,2,6940.69,21.77
499,2015-01-11,32,48,J,169-30,36,2,10042.98,21.77
500,2015-01-11,32,48,J,164-11,36,2,10505.05,21.77
501,2015-01-11,32,48,J,156-4,0,3,18327.89,16.63
502,2015-01-11,32,48,J,167-7,0,3,18284.92,16.63
503,2015-01-11,32,48,J,168-16,0,3,19023.16,16.63
504,2015-01-11,32,48,J,169-30,0,3,18876.74,16.63
505,2015-01-11,32,48,J,164-11,0,3,19949.23,16.63
506,2015-01-11,32,48,J,156-4,2,3,18164.06,17.76
507,2015-01-11,32,48,J,167-7,2,3,23580.66,17.76
508,2015-01-11,32,48,J,168-16,2,3,2953.26,17.76
509,2015-01-11,32,48,J,169-30,2,3,17572.22,17.76
510,2015-01-11,32,48,J,164-11,2,3,19552.77,17.76
511,2015-01-11,32,48,J,156-4,12,3,14936.09,17.2
512,2015-01-11,32,48,J,167-7,12,3,25210.24,17.2
513,2015-01-11,32,48,J,168-16,12,3,15633.37,17.2
514,2015-01-11,32,48,J,169-30,12,3,17537.65,17.2
515,2015-01-11,32,48,J,164-11,12,3,21813.18,17.2
516,2015-01-11,32,48,J,156-4,24,3,15369.18,19.75
517,2015-01-11,32,48,J,167-7,24,3,23222.31,19.75
518,2015-01-11,32,48,J,168-16,24,3,15372.57,19.75
519,2015-01-11,32,48,J,169-30,24,3,19151.28,19.75
520,2015-01-11,32,48,J,164-11,24,3,20450.63,19.75
521,2015-01-11,32,48,J,156-4,36,3,12703.93,21.77
522,2015-01-11,32,48,J,167-7,36,3,12816.81,21.77
523,2015-01-11,32,48,J,168-16,36,3,13181.88,21.77
524,2015-01-11,32,48,J,169-30,36,3,9309.75,21.77
525,2015-01-11,32,48,J,164-11,36,3,9438.56,21.77
451,2015-01-12,33,72,J,156-4,0,1,26298.57,17.16
452,2015-01-12,33,72,J,167-7,0,1,23685.98,17.16
453,2015-01-12,33,72,J,168-16,0,1,25649.6,17.16
454,2015-01-12,33,72,J,169-30,0,1,26107.85,17.16
455,2015-01-12,33,72,J,164-11,0,1,26253.05,17.16
456,2015-01-12,33,72,J,156-4,2,1,22833.65,17.77
457,2015-01-12,33,72,J,167-7,2,1,25311.14,17.77
458,2015-01-12,33,72,J,168-16,2,1,1231.08,17.77
459,2015-01-12,33,72,J,169-30,2,1,21568.92,17.77
460,2015-01-12,33,72,J,164-11,2,1,25895.91,17.77
461,2015-01-12,33,72,J,156-4,12,1,20999.56,17.19
462,2015-01-12,33,72,J,167-7,12,1,39921.05,17.19
463,2015-01-12,33,72,J,168-16,12,1,21375.63,17.19
464,2015-01-12,33,72,J,169-30,12,1,19362.51,17.19
465,2015-01-12,33,72,J,164-11,12,1,23249.5,17.19
466,2015-01-12,33,72,J,156-4,24,1,16568.43,20.96
467,2015-01-12,33,72,J,167-7,24,1,34416.42,20.96
468,2015-01-12,33,72,J,168-16,24,1,16391.68,20.96
469,2015-01-12,33,72,J,169-30,24,1,20801.24,20.96
470,2015-01-12,33,72,J,164-11,24,1,19328.1,20.96
471,2015-01-12,33,72,J,156-4,36,1,14636.95,23.08
472,2015-01-12,33,72,J,167-7,36,1,12840.43,23.08
473,2015-01-12,33,72,J,168-16,36,1,7714.37,23.08
474,2015-01-12,33,72,J,169-30,36,1,7522.99,23.08
475,2015-01-12,33,72,J,164-11,36,1,8623.03,23.08
476,2015-01-12,33,72,J,156-4,0,2,25722.35,17.16
477,2015-01-12,33,72,J,167-7,0,2,24353.23,17.16
478,2015-01-12,33,72,J,168-16,0,2,26919.14,17.16
479,2015-01-12,33,72,J,169-30,0,2,24345.16,17.16
480,2015-01-12,33,72,J,164-11,0,2,25965.09,17.16
481,2015-01-12,33,72,J,156-4,2,2,22211.47,17.77
482,2015-01-12,33,72,J,167-7,2,2,37117.19,17.77
483,2015-01-12,33,72,J,168-16,2,2,2004.92,17.77
484,2015-01-12,33,72,J,169-30,2,2,22909.82,17.77
485,2015-01-12,33,72,J,164-11,2,2,23169.19,17.77
486,2015-01-12,33,72,J,156-4,12,2,20497.53,17.19
487,2015-01-12,33,72,J,167-7,12,2,36738.12,17.19
488,2015-01-12,33,72,J,168-16,12,2,22741.71,17.19
489,2015-01-12,33,72,J,169-30,12,2,23757.25,17.19
490,2015-01-12,33,72,J,164-11,12,2,21706.96,17.19
491,2015-01-12,33,72,J,156-4,24,2,16839.03,20.96
492,2015-01-12,33,72,J,167-7,24,2,30579.85,20.96
493,2015-01-12,33,72,J,168-16,24,2,18545.76,20.96
494,2015-01-12,33,72,J,169-30,24,2,23428.56,20.96
495,2015-01-12,33,72,J,164-11,24,2,23829.1,20.96
496,2015-01-12,33,72,J,156-4,36,2,13355.66,23.08
497,2015-01-12,33,72,J,167-7,36,2,11992.27,23.08
498,2015-01-12,33,72,J,168-16,36,2,6149.45,23.08
499,2015-01-12,33,72,J,169-30,36,2,8256.93,23.08
500,2015-01-12,33,72,J,164-11,36,2,10435.81,23.08
501,2015-01-12,33,72,J,156-4,0,3,24170.64,17.16
502,2015-01-12,33,72,J,167-7,0,3,24594.34,17.16
503,2015-01-12,33,72,J,168-16,0,3,26268,17.16
504,2015-01-12,33,72,J,169-30,0,3,26661.79,17.16
505,2015-01-12,33,72,J,164-11,0,3,26020.63,17.16
506,2015-01-12,33,72,J,156-4,2,3,24339.51,17.77
507,2015-01-12,33,72,J,167-7,2,3,32550.28,17.77
508,2015-01-12,33,72,J,168-16,2,3,2257.08,17.77
509,2015-01-12,33,72,J,169-30,2,3,27821.59,17.77
510,2015-01-12,33,72,J,164-11,2,3,25797.36,17.77
511,2015-01-12,33,72,J,156-4,12,3,18958.11,17.19
512,2015-01-12,33,72,J,167-7,12,3,39972.68,17.19
513,2015-01-12,33,72,J,168-16,12,3,19152.95,17.19
514,2015-01-12,33,72,J,169-30,12,3,22840.92,17.19
515,2015-01-12,33,72,J,164-11,12,3,24533.39,17.19
516,2015-01-12,33,72,J,156-4,24,3,19604.87,20.96
517,2015-01-12,33,72,J,167-7,24,3,33982.63,20.96
518,2015-01-12,33,72,J,168-16,24,3,17533.26,20.96
519,2015-01-12,33,72,J,169-30,24,3,22902.22,20.96
520,2015-01-12,33,72,J,164-11,24,3,22550.08,20.96
521,2015-01-12,33,72,J,156-4,36,3,13930.03,23.08
522,2015-01-12,33,72,J,167-7,36,3,12867.43,23.08
523,2015-01-12,33,72,J,168-16,36,3,13559.18,23.08
524,2015-01-12,33,72,J,169-30,36,3,8294.67,23.08
525,2015-01-12,33,72,J,164-11,36,3,9637.96,23.08
451,2015-01-13,34,96,J,156-4,0,1,32859.22,17.12
452,2015-01-13,34,96,J,167-7,0,1,32314.1,17.12
453,2015-01-13,34,96,J,168-16,0,1,35305.69,17.12
454,2015-01-13,34,96,J,169-30,0,1,38214.22,17.12
455,2015-01-13,34,96,J,164-11,0,1,34235.7,17.12
456,2015-01-13,34,96,J,156-4,2,1,29442.46,18.87
457,2015-01-13,34,96,J,167-7,2,1,31544.4,18.87
458,2015-01-13,34,96,J,168-16,2,1,1287.42,18.87
459,2015-01-13,34,96,J,169-30,2,1,31079.85,18.87
460,2015-01-13,34,96,J,164-11,2,1,31743.47,18.87
461,2015-01-13,34,96,J,156-4,12,1,26158.19,18.41
462,2015-01-13,34,96,J,167-7,12,1,58798.6,18.41
463,2015-01-13,34,96,J,168-16,12,1,25279.03,18.41
464,2015-01-13,34,96,J,169-30,12,1,28541.09,18.41
465,2015-01-13,34,96,J,164-11,12,1,29197.15,18.41
466,2015-01-13,34,96,J,156-4,24,1,20402.11,20.03
467,2015-01-13,34,96,J,167-7,24,1,50052.21,20.03
468,2015-01-13,34,96,J,168-16,24,1,17196.95,20.03
469,2015-01-13,34,96,J,169-30,24,1,26116.71,20.03
470,2015-01-13,34,96,J,164-11,24,1,22346.92,20.03
471,2015-01-13,34,96,J,156-4,36,1,16103.74,21.36
472,2015-01-13,34,96,J,167-7,36,1,13657.08,21.36
473,2015-01-13,34,96,J,168-16,36,1,7008.74,21.36
474,2015-01-13,34,96,J,169-30,36,1,7749.24,21.36
475,2015-01-13,34,96,J,164-11,36,1,8134.18,21.36
476,2015-01-13,34,96,J,156-4,0,2,30268.6,17.12
477,2015-01-13,34,96,J,167-7,0,2,30545.04,17.12
478,2015-01-13,34,96,J,168-16,0,2,37382.25,17.12
479,2015-01-13,34,96,J,169-30,0,2,33825.67,17.12
480,2015-01-13,34,96,J,164-11,0,2,36660.09,17.12
481,2015-01-13,34,96,J,156-4,2,2,28891.76,18.87
482,2015-01-13,34,96,J,167-7,2,2,56204.32,18.87
483,2015-01-13,34,96,J,168-16,2,2,1985.09,18.87
484,2015-01-13,34,96,J,169-30,2,2,33356.14,18.87
485,2015-01-13,34,96,J,164-11,2,2,30352.83,18.87
486,2015-01-13,34,96,J,156-4,12,2,26780.55,18.41
487,2015-01-13,34,96,J,167-7,12,2,55476.04,18.41
488,2015-01-13,34,96,J,168-16,12,2,28200.99,18.41
489,2015-01-13,34,96,J,169-30,12,2,31879.01,18.41
490,2015-01-13,34,96,J,164-11,12,2,27289.54,18.41
491,2015-01-13,34,96,J,156-4,24,2,22954.25,20.03
492,2015-01-13,34,96,J,167-7,24,2,44338.88,20.03
493,2015-01-13,34,96,J,168-16,24,2,21570.63,20.03
494,2015-01-13,34,96,J,169-30,24,2,30254.54,20.03
495,2015-01-13,34,96,J,164-11,24,2,23644.49,20.03
496,2015-01-13,34,96,J,156-4,36,2,16381.27,21.36
497,2015-01-13,34,96,J,167-7,36,2,13115.54,21.36
498,2015-01-13,34,96,J,168-16,36,2,4300.31,21.36
499,2015-01-13,34,96,J,169-30,36,2,9759.25,21.36
500,2015-01-13,34,96,J,164-11,36,2,9913.82,21.36
501,2015-01-13,34,96,J,156-4,0,3,31678.57,17.12
502,2015-01-13,34,96,J,167-7,0,3,31859.81,17.12
503,2015-01-13,34,96,J,168-16,0,3,37415.86,17.12
504,2015-01-13,34,96,J,169-30,0,3,37870.32,17.12
505,2015-01-13,34,96,J,164-11,0,3,34101,17.12
506,2015-01-13,34,96,J,156-4,2,3,31903.43,18.87
507,2015-01-13,34,96,J,167-7,2,3,45987.98,18.87
508,2015-01-13,34,96,J,168-16,2,3,1942.26,18.87
509,2015-01-13,34,96,J,169-30,2,3,39953.17,18.87
510,2015-01-13,34,96,J,164-11,2,3,31114.19,18.87
511,2015-01-13,34,96,J,156-4,12,3,25680.26,18.41
512,2015-01-13,34,96,J,167-7,12,3,59281.85,18.41
513,2015-01-13,34,96,J,168-16,12,3,23820.9,18.41
514,2015-01-13,34,96,J,169-30,12,3,30367.07,18.41
515,2015-01-13,34,96,J,164-11,12,3,27754.81,18.41
516,2015-01-13,34,96,J,156-4,24,3,25189.78,20.03
517,2015-01-13,34,96,J,167-7,24,3,43203.86,20.03
518,2015-01-13,34,96,J,168-16,24,3,20650.6,20.03
519,2015-01-13,34,96,J,169-30,24,3,30122.32,20.03
520,2015-01-13,34,96,J,164-11,24,3,24111.84,20.03
521,2015-01-13,34,96,J,156-4,36,3,15319.68,21.36
522,2015-01-13,34,96,J,167-7,36,3,15340.14,21.36
523,2015-01-13,34,96,J,168-16,36,3,13255.21,21.36
524,2015-01-13,34,96,J,169-30,36,3,9085.42,21.36
525,2015-01-13,34,96,J,164-11,36,3,9188.45,21.36
526,2015-01-13,34,0,K,156-4,0,1,9428.36,16.33
527,2015-01-13,34,0,K,167-7,0,1,9066.44,16.33
528,2015-01-13,34,0,K,168-16,0,1,8988.88,16.33
529,2015-01-13,34,0,K,169-30,0,1,8564.75,16.33
530,2015-01-13,34,0,K,164-11,0,1,10958.57,16.33
531,2015-01-13,34,0,K,156-4,2,1,9444.26,16.63
532,2015-01-13,34,0,K,167-7,2,1,9053.88,16.63
533,2015-01-13,34,0,K,168-16,2,1,786.26,16.63
534,2015-01-13,34,0,K,169-30,2,1,9932.11,16.63
535,2015-01-13,34,0,K,164-11,2,1,10808.82,16.63
536,2015-01-13,34,0,K,156-4,12,1,9819.69,16.87
537,2015-01-13,34,0,K,167-7,12,1,8934.77,16.87
