,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,J,6334.48,32.91,0.32,3.68
2,332,0,1,J,3408.22,32.91,0.59,3.41
3,333,0,1,J,7590.42,32.91,0.26,3.74
4,1263,0,1,J,1645.56,32.91,1.24,2.76
5,331,2,1,J,8381.31,32.91,0.24,3.76
6,332,2,1,J,3845.73,17.92,0.52,3.48
7,333,2,1,J,7416,17.92,0.27,3.73
8,1263,2,1,J,6989.29,17.92,0.29,3.71
9,331,12,1,J,8814.12,17.92,0.23,3.77
10,332,12,1,J,6212.99,17.92,0.32,3.68
11,333,12,1,J,5908.33,18.26,0.34,3.66
12,1263,12,1,J,9236.62,18.26,0.22,3.78
13,331,24,1,J,6256.28,18.26,0.32,3.68
14,332,24,1,J,5036.14,18.26,0.4,3.6
15,333,24,1,J,6145.82,18.26,0.33,3.67
16,1263,24,1,J,6359.53,19.17,0.32,3.68
17,331,36,1,J,3471.56,19.17,0.58,3.42
18,332,36,1,J,3109.16,19.17,0.65,3.35
19,333,36,1,J,3240.56,19.17,0.62,3.38
20,1263,36,1,J,6280.5,19.17,0.32,3.68
21,331,0,2,J,4877.78,21.5,0.41,3.59
22,332,0,2,J,1302.9,21.5,1.56,2.44
23,333,0,2,J,5427.22,21.5,0.37,3.63
24,1263,0,2,J,2647.82,21.5,0.76,3.24
25,331,2,2,J,8338.92,21.5,0.24,3.76
26,332,2,2,J,2771.42,32.91,0.73,3.27
27,333,2,2,J,8434.85,32.91,0.24,3.76
28,1263,2,2,J,5281.09,32.91,0.38,3.62
29,331,12,2,J,9859.47,32.91,0.2,3.8
30,332,12,2,J,6539.13,32.91,0.31,3.69
31,333,12,2,J,6038.43,17.92,0.33,3.67
32,1263,12,2,J,10200.98,17.92,0.2,3.8
33,331,24,2,J,6644.92,17.92,0.3,3.7
34,332,24,2,J,5265.75,17.92,0.38,3.62
35,333,24,2,J,5453.67,17.92,0.37,3.63
36,1263,24,2,J,7367.14,18.26,0.27,3.73
37,331,36,2,J,3243.37,18.26,0.62,3.38
38,332,36,2,J,3176.54,18.26,0.63,3.37
39,333,36,2,J,3095.12,18.26,0.65,3.35
40,1263,36,2,J,5265.43,18.26,0.38,3.62
41,331,0,3,J,5291.65,19.17,0.38,3.62
42,332,0,3,J,1575.33,19.17,1.29,2.71
43,333,0,3,J,5449.54,19.17,0.37,3.63
44,1263,0,3,J,2312.13,19.17,0.87,3.13
45,331,2,3,J,7123.88,19.17,0.28,3.72
46,332,2,3,J,2355.09,21.5,0.86,3.14
47,333,2,3,J,7869.12,21.5,0.25,3.75
48,1263,2,3,J,4428.93,21.5,0.45,3.55
49,331,12,3,J,9306.55,21.5,0.22,3.78
50,332,12,3,J,6627.56,21.5,0.3,3.7
51,333,12,3,J,8040.3,32.91,0.25,3.75
52,1263,12,3,J,6232.42,32.91,0.32,3.68
53,331,24,3,J,6023.44,32.91,0.33,3.67
54,332,24,3,J,5159.41,32.91,0.39,3.61
55,333,24,3,J,6798.05,32.91,0.3,3.7
56,1263,24,3,J,6422.85,17.92,0.31,3.69
57,331,36,3,J,3143.41,17.92,0.64,3.36
58,332,36,3,J,2647.69,17.92,0.76,3.24
59,333,36,3,J,3329.01,17.92,0.6,3.4
60,1263,36,3,J,4017.95,17.92,0.5,3.5
