,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,29,6970.29,34.92,0.12,3.88
2,332,0,1,29,2188.02,34.92,0.37,3.63
3,333,0,1,29,6888.27,34.92,0.12,3.88
4,1263,0,1,29,8169.38,34.92,0.1,3.9
5,331,2,1,29,11024.37,20.25,0.07,3.93
6,332,2,1,29,5353.5,20.25,0.15,3.85
7,333,2,1,29,10249.62,20.25,0.08,3.92
8,1263,2,1,29,9101.09,20.25,0.09,3.91
9,331,12,1,29,9363.95,20.73,0.09,3.91
10,332,12,1,29,7484.61,20.73,0.11,3.89
11,333,12,1,29,12822.09,20.73,0.06,3.94
12,1263,12,1,29,4456.35,20.73,0.18,3.82
13,331,24,1,29,5408.76,20.38,0.15,3.85
14,332,24,1,29,5819.39,20.38,0.14,3.86
15,333,24,1,29,5295.57,20.38,0.15,3.85
16,1263,24,1,29,11144.47,20.38,0.07,3.93
17,331,36,1,29,2782.15,20,0.29,3.71
18,332,36,1,29,2135.09,20,0.38,3.62
19,333,36,1,29,2902.79,20,0.28,3.72
20,1263,36,1,29,1281.55,20,0.63,3.37
21,331,0,2,29,7164.17,34.92,0.11,3.89
22,332,0,2,29,3276.24,34.92,0.25,3.75
23,333,0,2,29,7924.95,34.92,0.1,3.9
24,1263,0,2,29,10476.79,34.92,0.08,3.92
25,331,2,2,29,13546.43,20.25,0.06,3.94
26,332,2,2,29,6035.74,20.25,0.13,3.87
27,333,2,2,29,13506.23,20.25,0.06,3.94
28,1263,2,2,29,5981.36,20.25,0.13,3.87
29,331,12,2,29,10899.38,20.73,0.07,3.93
30,332,12,2,29,8883.39,20.73,0.09,3.91
31,333,12,2,29,10452.99,20.73,0.08,3.92
32,1263,12,2,29,3044.82,20.73,0.26,3.74
33,331,24,2,29,6575.32,20.38,0.12,3.88
34,332,24,2,29,5151.71,20.38,0.16,3.84
35,333,24,2,29,5262.57,20.38,0.15,3.85
36,1263,24,2,29,10625.23,20.38,0.08,3.92
37,331,36,2,29,2813.73,20,0.29,3.71
38,332,36,2,29,2341.6,20,0.34,3.66
39,333,36,2,29,3089.07,20,0.26,3.74
40,1263,36,2,29,1857.51,20,0.44,3.56
41,331,0,3,29,7149.15,34.92,0.11,3.89
42,332,0,3,29,2444.4,34.92,0.33,3.67
43,333,0,3,29,8712.48,34.92,0.09,3.91
44,1263,0,3,29,10744.4,34.92,0.07,3.93
45,331,2,3,29,13294.25,20.25,0.06,3.94
46,332,2,3,29,5252.64,20.25,0.15,3.85
47,333,2,3,29,14934.06,20.25,0.05,3.95
48,1263,2,3,29,9062.79,20.25,0.09,3.91
49,331,12,3,29,10660.01,20.73,0.08,3.92
50,332,12,3,29,8969.79,20.73,0.09,3.91
51,333,12,3,29,12538.26,20.73,0.06,3.94
52,1263,12,3,29,3946.89,20.73,0.2,3.8
53,331,24,3,29,5225.06,20.38,0.15,3.85
54,332,24,3,29,5794.16,20.38,0.14,3.86
55,333,24,3,29,4713.66,20.38,0.17,3.83
56,1263,24,3,29,12202.18,20.38,0.07,3.93
57,331,36,3,29,2844.48,20,0.28,3.72
58,332,36,3,29,3986.37,20,0.2,3.8
59,333,36,3,29,3338.77,20,0.24,3.76
60,1263,36,3,29,1135.9,20,0.72,3.28
