,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,21,7092.38,22.03,0.11,3.89
2,332,0,1,21,2363.55,22.03,0.34,3.66
3,333,0,1,21,7711.52,22.03,0.1,3.9
4,1263,0,1,21,10602.84,22.03,0.08,3.92
5,331,2,1,21,9292.52,21.73,0.09,3.91
6,332,2,1,21,6076.32,21.73,0.13,3.87
7,333,2,1,21,7041.17,21.73,0.11,3.89
8,1263,2,1,21,10597.24,21.73,0.08,3.92
9,331,12,1,21,11523.76,21.44,0.07,3.93
10,332,12,1,21,7559.94,21.44,0.11,3.89
11,333,12,1,21,11076.78,21.44,0.07,3.93
12,1263,12,1,21,9915.37,21.44,0.08,3.92
13,331,24,1,21,6891.45,19.49,0.12,3.88
14,332,24,1,21,6211.11,19.49,0.13,3.87
15,333,24,1,21,5253.32,19.49,0.15,3.85
16,1263,24,1,21,6542.45,19.49,0.12,3.88
17,331,36,1,21,2682.56,25.74,0.3,3.7
18,332,36,1,21,2314.04,25.74,0.35,3.65
19,333,36,1,21,4755.22,25.74,0.17,3.83
20,1263,36,1,21,4277.5,25.74,0.19,3.81
21,331,0,2,21,6763.3,22.03,0.12,3.88
22,332,0,2,21,2659.36,22.03,0.3,3.7
23,333,0,2,21,8740.72,22.03,0.09,3.91
24,1263,0,2,21,10479.37,22.03,0.08,3.92
25,331,2,2,21,10741.14,21.73,0.07,3.93
26,332,2,2,21,6432.17,21.73,0.12,3.88
27,333,2,2,21,8041.32,21.73,0.1,3.9
28,1263,2,2,21,10460.9,21.73,0.08,3.92
29,331,12,2,21,11803.1,21.44,0.07,3.93
30,332,12,2,21,9009.07,21.44,0.09,3.91
31,333,12,2,21,10750.37,21.44,0.07,3.93
32,1263,12,2,21,7974.39,21.44,0.1,3.9
33,331,24,2,21,7647.48,19.49,0.1,3.9
34,332,24,2,21,6058.74,19.49,0.13,3.87
35,333,24,2,21,6972.89,19.49,0.12,3.88
36,1263,24,2,21,7144.39,19.49,0.11,3.89
37,331,36,2,21,3999.47,25.74,0.2,3.8
38,332,36,2,21,2572.77,25.74,0.31,3.69
39,333,36,2,21,3116.18,25.74,0.26,3.74
40,1263,36,2,21,5707.05,25.74,0.14,3.86
41,331,0,3,21,7057.72,22.03,0.11,3.89
42,332,0,3,21,2805.59,22.03,0.29,3.71
43,333,0,3,21,8137.81,22.03,0.1,3.9
44,1263,0,3,21,11933.69,22.03,0.07,3.93
45,331,2,3,21,11075.74,21.73,0.07,3.93
46,332,2,3,21,5674.04,21.73,0.14,3.86
47,333,2,3,21,9123.36,21.73,0.09,3.91
48,1263,2,3,21,9678.42,21.73,0.08,3.92
49,331,12,3,21,9528.38,21.44,0.08,3.92
50,332,12,3,21,10191.57,21.44,0.08,3.92
51,333,12,3,21,13385.86,21.44,0.06,3.94
52,1263,12,3,21,9027.84,21.44,0.09,3.91
53,331,24,3,21,8587.06,19.49,0.09,3.91
54,332,24,3,21,5677.89,19.49,0.14,3.86
55,333,24,3,21,7135.01,19.49,0.11,3.89
56,1263,24,3,21,4029.81,19.49,0.2,3.8
57,331,36,3,21,3048.24,25.74,0.26,3.74
58,332,36,3,21,3274.02,25.74,0.25,3.75
59,333,36,3,21,3936.96,25.74,0.2,3.8
60,1263,36,3,21,6774.66,25.74,0.12,3.88
