,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,R,6772.98,20.9,0.12,3.88
2,332,0,1,R,3299.98,20.9,0.24,3.76
3,333,0,1,R,6882.52,20.9,0.12,3.88
4,1263,0,1,R,10531.77,20.9,0.08,3.92
5,331,2,1,R,8865.15,19.48,0.09,3.91
6,332,2,1,R,6792.19,19.48,0.12,3.88
7,333,2,1,R,9591.04,19.48,0.08,3.92
8,1263,2,1,R,3219.47,19.48,0.25,3.75
9,331,12,1,R,12070.22,18.71,0.07,3.93
10,332,12,1,R,8288,18.71,0.1,3.9
11,333,12,1,R,15783.84,18.71,0.05,3.95
12,1263,12,1,R,5679.69,18.71,0.14,3.86
13,331,24,1,R,6728.96,18.77,0.12,3.88
14,332,24,1,R,6368.67,18.77,0.13,3.87
15,333,24,1,R,7730.23,18.77,0.1,3.9
16,1263,24,1,R,4559.25,18.77,0.18,3.82
17,331,36,1,R,2422.15,20.25,0.33,3.67
18,332,36,1,R,3005.15,20.25,0.27,3.73
19,333,36,1,R,2602.55,20.25,0.31,3.69
20,1263,36,1,R,4022.76,20.25,0.2,3.8
21,331,0,2,R,7391.92,20.9,0.11,3.89
22,332,0,2,R,3049.38,20.9,0.26,3.74
23,333,0,2,R,9534.4,20.9,0.08,3.92
24,1263,0,2,R,9482.63,20.9,0.08,3.92
25,331,2,2,R,9793.95,19.48,0.08,3.92
26,332,2,2,R,7254,19.48,0.11,3.89
27,333,2,2,R,9714.18,19.48,0.08,3.92
28,1263,2,2,R,3998.01,19.48,0.2,3.8
29,331,12,2,R,14454.33,18.71,0.06,3.94
30,332,12,2,R,8621.4,18.71,0.09,3.91
31,333,12,2,R,13085.2,18.71,0.06,3.94
32,1263,12,2,R,10575.06,18.71,0.08,3.92
33,331,24,2,R,7036.17,18.77,0.11,3.89
34,332,24,2,R,5049.13,18.77,0.16,3.84
35,333,24,2,R,6542.76,18.77,0.12,3.88
36,1263,24,2,R,7011.41,18.77,0.11,3.89
37,331,36,2,R,2823.42,20.25,0.29,3.71
38,332,36,2,R,2344.57,20.25,0.34,3.66
39,333,36,2,R,2293.14,20.25,0.35,3.65
40,1263,36,2,R,5002.12,20.25,0.16,3.84
41,331,0,3,R,6863.04,20.9,0.12,3.88
42,332,0,3,R,3256.28,20.9,0.25,3.75
43,333,0,3,R,7529.95,20.9,0.11,3.89
44,1263,0,3,R,10679.93,20.9,0.08,3.92
45,331,2,3,R,9984.67,19.48,0.08,3.92
46,332,2,3,R,6929.18,19.48,0.12,3.88
47,333,2,3,R,10228.18,19.48,0.08,3.92
48,1263,2,3,R,4908.9,19.48,0.16,3.84
49,331,12,3,R,11923.54,18.71,0.07,3.93
50,332,12,3,R,9016.64,18.71,0.09,3.91
51,333,12,3,R,14968.38,18.71,0.05,3.95
52,1263,12,3,R,9539.14,18.71,0.08,3.92
53,331,24,3,R,6259.17,18.77,0.13,3.87
54,332,24,3,R,6230.55,18.77,0.13,3.87
55,333,24,3,R,6541.81,18.77,0.12,3.88
56,1263,24,3,R,5927.03,18.77,0.14,3.86
57,331,36,3,R,2206.42,20.25,0.37,3.63
58,332,36,3,R,2800.04,20.25,0.29,3.71
59,333,36,3,R,2564.86,20.25,0.31,3.69
60,1263,36,3,R,5048.12,20.25,0.16,3.84
