,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,27,3284.23,21.73,0.25,3.75
2,332,0,1,27,1143.93,21.73,0.71,3.29
3,333,0,1,27,5314.54,21.73,0.15,3.85
4,1263,0,1,27,4581.17,21.73,0.18,3.82
5,331,2,1,27,5178.81,19.87,0.16,3.84
6,332,2,1,27,3890.8,19.87,0.21,3.79
7,333,2,1,27,5412.4,19.87,0.15,3.85
8,1263,2,1,27,4956.03,19.87,0.16,3.84
9,331,12,1,27,3669.42,20.55,0.22,3.78
10,332,12,1,27,3346.29,20.55,0.24,3.76
11,333,12,1,27,5511.63,20.55,0.15,3.85
12,1263,12,1,27,2083.14,20.55,0.39,3.61
13,331,24,1,27,2287.33,20.32,0.35,3.65
14,332,24,1,27,3286.86,20.32,0.24,3.76
15,333,24,1,27,2728.71,20.32,0.3,3.7
16,1263,24,1,27,3718.02,20.32,0.22,3.78
17,331,36,1,27,1853.62,20.68,0.44,3.56
18,332,36,1,27,1100.29,20.68,0.74,3.26
19,333,36,1,27,1679.93,20.68,0.48,3.52
20,1263,36,1,27,997.79,20.68,0.82,3.18
21,331,0,2,27,3892.39,21.73,0.21,3.79
22,332,0,2,27,1749.99,21.73,0.46,3.54
23,333,0,2,27,4132.71,21.73,0.19,3.81
24,1263,0,2,27,4764.78,21.73,0.17,3.83
25,331,2,2,27,5194.68,19.87,0.15,3.85
26,332,2,2,27,3938.77,19.87,0.2,3.8
27,333,2,2,27,4744.25,19.87,0.17,3.83
28,1263,2,2,27,4462.48,19.87,0.18,3.82
29,331,12,2,27,5136.41,20.55,0.16,3.84
30,332,12,2,27,3711.23,20.55,0.22,3.78
31,333,12,2,27,3601.96,20.55,0.22,3.78
32,1263,12,2,27,1763.25,20.55,0.46,3.54
33,331,24,2,27,2868.81,20.32,0.28,3.72
34,332,24,2,27,2377.1,20.32,0.34,3.66
35,333,24,2,27,2932.99,20.32,0.27,3.73
36,1263,24,2,27,2909.11,20.32,0.28,3.72
37,331,36,2,27,1503.89,20.68,0.54,3.46
38,332,36,2,27,990.24,20.68,0.83,3.17
39,333,36,2,27,1724.31,20.68,0.47,3.53
40,1263,36,2,27,1138.48,20.68,0.72,3.28
41,331,0,3,27,3107.93,21.73,0.26,3.74
42,332,0,3,27,1437.35,21.73,0.57,3.43
43,333,0,3,27,3007.58,21.73,0.27,3.73
44,1263,0,3,27,4399.37,21.73,0.18,3.82
45,331,2,3,27,3183.83,19.87,0.25,3.75
46,332,2,3,27,2834.28,19.87,0.28,3.72
47,333,2,3,27,5247.31,19.87,0.15,3.85
48,1263,2,3,27,4362.71,19.87,0.18,3.82
49,331,12,3,27,3739.5,20.55,0.22,3.78
50,332,12,3,27,3620.61,20.55,0.22,3.78
51,333,12,3,27,5855.18,20.55,0.14,3.86
52,1263,12,3,27,1635.36,20.55,0.5,3.5
53,331,24,3,27,2673.01,20.32,0.3,3.7
54,332,24,3,27,2743.54,20.32,0.29,3.71
55,333,24,3,27,3016.58,20.32,0.27,3.73
56,1263,24,3,27,4534.4,20.32,0.18,3.82
57,331,36,3,27,1520.43,20.68,0.53,3.47
58,332,36,3,27,1723.76,20.68,0.47,3.53
59,333,36,3,27,1658.17,20.68,0.49,3.51
60,1263,36,3,27,1596.93,20.68,0.51,3.49
