,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
3021,331,0,1,L,2661.41,18.54,0.3,3.7
3022,332,0,1,L,65.41,18.54,17.07,+AC0-13.07
3023,333,0,1,L,3949.98,18.54,0.2,3.8
3024,1263,0,1,L,4098.86,18.54,0.2,3.8
3025,331,2,1,L,8243.22,16.45,0.1,3.9
3026,332,2,1,L,2825.15,16.45,0.28,3.72
3027,333,2,1,L,8642.2,16.45,0.09,3.91
3028,1263,2,1,L,6677.19,16.45,0.12,3.88
3029,331,12,1,L,7847.75,16.34,0.1,3.9
3030,332,12,1,L,4639.08,16.34,0.17,3.83
3031,333,12,1,L,3573.1,16.34,0.22,3.78
3032,1263,12,1,L,3970.37,16.34,0.2,3.8
3033,331,24,1,L,4295.22,14.69,0.19,3.81
3034,332,24,1,L,4281.12,14.69,0.19,3.81
3035,333,24,1,L,1943.21,14.69,0.41,3.59
3036,1263,24,1,L,3036.69,14.69,0.26,3.74
3037,331,36,1,L,2107.48,15.68,0.38,3.62
3038,332,36,1,L,1771.38,15.68,0.46,3.54
3039,333,36,1,L,2596.95,15.68,0.31,3.69
3040,1263,36,1,L,3413.63,15.68,0.24,3.76
3041,331,0,2,L,3310.35,18.54,0.24,3.76
3042,332,0,2,L,247.02,18.54,3.5,0.5
3043,333,0,2,L,3628.88,18.54,0.22,3.78
3044,1263,0,2,L,5565.91,18.54,0.14,3.86
3045,331,2,2,L,8587.12,16.45,0.09,3.91
3046,332,2,2,L,4925.11,16.45,0.16,3.84
3047,333,2,2,L,10717.68,16.45,0.07,3.93
3048,1263,2,2,L,8175.3,16.45,0.1,3.9
3049,331,12,2,L,8967.67,16.34,0.09,3.91
3050,332,12,2,L,6106.53,16.34,0.13,3.87
3051,333,12,2,L,2881.35,16.34,0.28,3.72
3052,1263,12,2,L,3952.25,16.34,0.2,3.8
3053,331,24,2,L,4495.53,14.69,0.18,3.82
3054,332,24,2,L,2941.01,14.69,0.27,3.73
3055,333,24,2,L,1675.54,14.69,0.48,3.52
3056,1263,24,2,L,2351.32,14.69,0.34,3.66
3057,331,36,2,L,2052.34,15.68,0.39,3.61
3058,332,36,2,L,1680.38,15.68,0.48,3.52
3059,333,36,2,L,2961.38,15.68,0.27,3.73
3060,1263,36,2,L,3815.34,15.68,0.21,3.79
3061,331,0,3,L,2932.6,18.54,0.27,3.73
3062,332,0,3,L,119.53,18.54,7.92,+AC0-3.92
3063,333,0,3,L,1802.73,18.54,0.45,3.55
3064,1263,0,3,L,5864.13,18.54,0.14,3.86
3065,331,2,3,L,7215.47,16.45,0.11,3.89
3066,332,2,3,L,4855.22,16.45,0.17,3.83
3067,333,2,3,L,10838.31,16.45,0.07,3.93
3068,1263,2,3,L,8918.7,16.45,0.09,3.91
3069,331,12,3,L,10345.9,16.34,0.08,3.92
3070,332,12,3,L,5534.53,16.34,0.14,3.86
3071,333,12,3,L,3671.25,16.34,0.22,3.78
3072,1263,12,3,L,4394.45,16.34,0.18,3.82
3073,331,24,3,L,4495.36,14.69,0.18,3.82
3074,332,24,3,L,742.78,14.69,1.1,2.9
3075,333,24,3,L,1766.53,14.69,0.46,3.54
3076,1263,24,3,L,4368.28,14.69,0.18,3.82
3077,331,36,3,L,2126.08,15.68,0.38,3.62
3078,332,36,3,L,1766.61,15.68,0.46,3.54
3079,333,36,3,L,2472.95,15.68,0.33,3.67
3080,1263,36,3,L,3587.91,15.68,0.22,3.78
