,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,23,6837.73,23.94,0.12,3.88
2,332,0,1,23,2315.36,23.94,0.35,3.65
3,333,0,1,23,7883.25,23.94,0.1,3.9
4,1263,0,1,23,11797.82,23.94,0.07,3.93
5,331,2,1,23,10178.88,24.21,0.08,3.92
6,332,2,1,23,7259.41,24.21,0.11,3.89
7,333,2,1,23,10815.28,24.21,0.07,3.93
8,1263,2,1,23,11247.97,24.21,0.07,3.93
9,331,12,1,23,8985.96,21.61,0.09,3.91
10,332,12,1,23,9372.89,21.61,0.09,3.91
11,333,12,1,23,13210.94,21.61,0.06,3.94
12,1263,12,1,23,6323.32,21.61,0.13,3.87
13,331,24,1,23,5802.81,22.04,0.14,3.86
14,332,24,1,23,7078.66,22.04,0.11,3.89
15,333,24,1,23,4110.89,22.04,0.2,3.8
16,1263,24,1,23,1876.78,22.04,0.43,3.57
17,331,36,1,23,3049.4,22.6,0.26,3.74
18,332,36,1,23,2873.99,22.6,0.28,3.72
19,333,36,1,23,2402.63,22.6,0.34,3.66
20,1263,36,1,23,1585.96,22.6,0.51,3.49
21,331,0,2,23,7333.05,23.94,0.11,3.89
22,332,0,2,23,3459.04,23.94,0.23,3.77
23,333,0,2,23,7404.99,23.94,0.11,3.89
24,1263,0,2,23,11714.25,23.94,0.07,3.93
25,331,2,2,23,8880.93,24.21,0.09,3.91
26,332,2,2,23,6850.44,24.21,0.12,3.88
27,333,2,2,23,9601.02,24.21,0.08,3.92
28,1263,2,2,23,10369.88,24.21,0.08,3.92
29,331,12,2,23,11607.16,21.61,0.07,3.93
30,332,12,2,23,11778.7,21.61,0.07,3.93
31,333,12,2,23,12771.34,21.61,0.06,3.94
32,1263,12,2,23,3013.69,21.61,0.27,3.73
33,331,24,2,23,5578.05,22.04,0.14,3.86
34,332,24,2,23,6063.82,22.04,0.13,3.87
35,333,24,2,23,5736.65,22.04,0.14,3.86
36,1263,24,2,23,4654.15,22.04,0.17,3.83
37,331,36,2,23,2680.2,22.6,0.3,3.7
38,332,36,2,23,2666.83,22.6,0.3,3.7
39,333,36,2,23,2721.36,22.6,0.3,3.7
40,1263,36,2,23,3543.67,22.6,0.23,3.77
41,331,0,3,23,6979.9,23.94,0.12,3.88
42,332,0,3,23,3379.82,23.94,0.24,3.76
43,333,0,3,23,7765.49,23.94,0.1,3.9
44,1263,0,3,23,13015.23,23.94,0.06,3.94
45,331,2,3,23,11198.72,24.21,0.07,3.93
46,332,2,3,23,6072.68,24.21,0.13,3.87
47,333,2,3,23,10745.41,24.21,0.07,3.93
48,1263,2,3,23,9161.21,24.21,0.09,3.91
49,331,12,3,23,12651.99,21.61,0.06,3.94
50,332,12,3,23,8957.33,21.61,0.09,3.91
51,333,12,3,23,10580,21.61,0.08,3.92
52,1263,12,3,23,6639.27,21.61,0.12,3.88
53,331,24,3,23,6019.71,22.04,0.13,3.87
54,332,24,3,23,5205.22,22.04,0.15,3.85
55,333,24,3,23,5047.7,22.04,0.16,3.84
56,1263,24,3,23,6384.01,22.04,0.13,3.87
57,331,36,3,23,2874.52,22.6,0.28,3.72
58,332,36,3,23,3471.19,22.6,0.23,3.77
59,333,36,3,23,3085.96,22.6,0.26,3.74
60,1263,36,3,23,3508.33,22.6,0.23,3.77
