,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,26,11217.1,21.02,0.07,3.93
2,332,0,1,26,1876.32,21.02,0.43,3.57
3,333,0,1,26,12646.64,21.02,0.06,3.94
4,1263,0,1,26,8775.35,21.02,0.09,3.91
5,331,2,1,26,11647.05,20.38,0.07,3.93
6,332,2,1,26,2250.59,20.38,0.36,3.64
7,333,2,1,26,9791.86,20.38,0.08,3.92
8,1263,2,1,26,4733.64,20.38,0.17,3.83
9,331,12,1,26,14939.45,21.42,0.05,3.95
10,332,12,1,26,6574.28,21.42,0.12,3.88
11,333,12,1,26,14192.45,21.42,0.06,3.94
12,1263,12,1,26,7893.68,21.42,0.1,3.9
13,331,24,1,26,9524.39,20.22,0.08,3.92
14,332,24,1,26,4347.59,20.22,0.18,3.82
15,333,24,1,26,9984.75,20.22,0.08,3.92
16,1263,24,1,26,7913.55,20.22,0.1,3.9
17,331,36,1,26,4799.06,20.85,0.17,3.83
18,332,36,1,26,2250.67,20.85,0.36,3.64
19,333,36,1,26,5659.26,20.85,0.14,3.86
20,1263,36,1,26,4321.68,20.85,0.19,3.81
21,331,0,2,26,9513.56,21.02,0.08,3.92
22,332,0,2,26,1931.25,21.02,0.42,3.58
23,333,0,2,26,12515.95,21.02,0.06,3.94
24,1263,0,2,26,8269.9,21.02,0.1,3.9
25,331,2,2,26,12120.16,20.38,0.07,3.93
26,332,2,2,26,3660.54,20.38,0.22,3.78
27,333,2,2,26,9761.69,20.38,0.08,3.92
28,1263,2,2,26,4325.33,20.38,0.19,3.81
29,331,12,2,26,15343.43,21.42,0.05,3.95
30,332,12,2,26,6332.61,21.42,0.13,3.87
31,333,12,2,26,17690.88,21.42,0.05,3.95
32,1263,12,2,26,3609.54,21.42,0.22,3.78
33,331,24,2,26,8046.57,20.22,0.1,3.9
34,332,24,2,26,4198.68,20.22,0.19,3.81
35,333,24,2,26,8349.88,20.22,0.1,3.9
36,1263,24,2,26,4486.26,20.22,0.18,3.82
37,331,36,2,26,3686.8,20.85,0.22,3.78
38,332,36,2,26,2267.06,20.85,0.36,3.64
39,333,36,2,26,4614.15,20.85,0.17,3.83
40,1263,36,2,26,4678.3,20.85,0.17,3.83
41,331,0,3,26,9406.53,21.02,0.09,3.91
42,332,0,3,26,1908.78,21.02,0.42,3.58
43,333,0,3,26,14282.81,21.02,0.06,3.94
44,1263,0,3,26,9121.95,21.02,0.09,3.91
45,331,2,3,26,9661.93,20.38,0.08,3.92
46,332,2,3,26,2659.75,20.38,0.3,3.7
47,333,2,3,26,13093.74,20.38,0.06,3.94
48,1263,2,3,26,4987.07,20.38,0.16,3.84
49,331,12,3,26,18357.71,21.42,0.04,3.96
50,332,12,3,26,6722.87,21.42,0.12,3.88
51,333,12,3,26,17223.4,21.42,0.05,3.95
52,1263,12,3,26,5210.99,21.42,0.15,3.85
53,331,24,3,26,6374.31,20.22,0.13,3.87
54,332,24,3,26,4543.49,20.22,0.18,3.82
55,333,24,3,26,7530.78,20.22,0.11,3.89
56,1263,24,3,26,9268.59,20.22,0.09,3.91
57,331,36,3,26,4284.26,20.85,0.19,3.81
58,332,36,3,26,3126,20.85,0.26,3.74
59,333,36,3,26,5978.91,20.85,0.13,3.87
60,1263,36,3,26,6236.36,20.85,0.13,3.87
