,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,20,7357.03,20.37,0.11,3.89
2,332,0,1,20,2575.59,20.37,0.31,3.69
3,333,0,1,20,8259.43,20.37,0.1,3.9
4,1263,0,1,20,11980.06,20.37,0.07,3.93
5,331,2,1,20,10342.67,21.21,0.08,3.92
6,332,2,1,20,7247.75,21.21,0.11,3.89
7,333,2,1,20,10073.27,21.21,0.08,3.92
8,1263,2,1,20,9842.68,21.21,0.08,3.92
9,331,12,1,20,14034.63,20.19,0.06,3.94
10,332,12,1,20,9453.83,20.19,0.08,3.92
11,333,12,1,20,17844.99,20.19,0.04,3.96
12,1263,12,1,20,6389.56,20.19,0.13,3.87
13,331,24,1,20,6767.19,19.82,0.12,3.88
14,332,24,1,20,6760.56,19.82,0.12,3.88
15,333,24,1,20,7379.65,19.82,0.11,3.89
16,1263,24,1,20,8031.25,19.82,0.1,3.9
17,331,36,1,20,2712.26,19.83,0.3,3.7
18,332,36,1,20,3047.21,19.83,0.26,3.74
19,333,36,1,20,2232.45,19.83,0.36,3.64
20,1263,36,1,20,4133.63,19.83,0.19,3.81
21,331,0,2,20,7108.02,20.37,0.11,3.89
22,332,0,2,20,3149.37,20.37,0.26,3.74
23,333,0,2,20,8296.5,20.37,0.1,3.9
24,1263,0,2,20,11937.53,20.37,0.07,3.93
25,331,2,2,20,10483.87,21.21,0.08,3.92
26,332,2,2,20,6771.63,21.21,0.12,3.88
27,333,2,2,20,11529.82,21.21,0.07,3.93
28,1263,2,2,20,9425.95,21.21,0.09,3.91
29,331,12,2,20,15339.12,20.19,0.05,3.95
30,332,12,2,20,9185.66,20.19,0.09,3.91
31,333,12,2,20,14620.09,20.19,0.05,3.95
32,1263,12,2,20,8415.39,20.19,0.1,3.9
33,331,24,2,20,7638.57,19.82,0.11,3.89
34,332,24,2,20,5422.41,19.82,0.15,3.85
35,333,24,2,20,7190.48,19.82,0.11,3.89
36,1263,24,2,20,7397.98,19.82,0.11,3.89
37,331,36,2,20,3241.34,19.83,0.25,3.75
38,332,36,2,20,2876.18,19.83,0.28,3.72
39,333,36,2,20,3923.44,19.83,0.2,3.8
40,1263,36,2,20,5032.76,19.83,0.16,3.84
41,331,0,3,20,6904.17,20.37,0.12,3.88
42,332,0,3,20,2901.65,20.37,0.28,3.72
43,333,0,3,20,7364.04,20.37,0.11,3.89
44,1263,0,3,20,11152.69,20.37,0.07,3.93
45,331,2,3,20,11370.74,21.21,0.07,3.93
46,332,2,3,20,6428.14,21.21,0.12,3.88
47,333,2,3,20,10193.48,21.21,0.08,3.92
48,1263,2,3,20,9296.46,21.21,0.09,3.91
49,331,12,3,20,14612.66,20.19,0.05,3.95
50,332,12,3,20,10369.52,20.19,0.08,3.92
51,333,12,3,20,13111.76,20.19,0.06,3.94
52,1263,12,3,20,11713.63,20.19,0.07,3.93
53,331,24,3,20,7501.47,19.82,0.11,3.89
54,332,24,3,20,6378.35,19.82,0.13,3.87
55,333,24,3,20,6146.66,19.82,0.13,3.87
56,1263,24,3,20,5600.82,19.82,0.14,3.86
57,331,36,3,20,3314.46,19.83,0.24,3.76
58,332,36,3,20,3206.36,19.83,0.25,3.75
59,333,36,3,20,3848.75,19.83,0.21,3.79
60,1263,36,3,20,6532.15,19.83,0.12,3.88
