,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,24,6450.23,23.08,0.12,3.88
2,332,0,1,24,2245.35,23.08,0.36,3.64
3,333,0,1,24,5951.96,23.08,0.13,3.87
4,1263,0,1,24,10460.71,23.08,0.08,3.92
5,331,2,1,24,9935.53,22.32,0.08,3.92
6,332,2,1,24,5502.7,22.32,0.15,3.85
7,333,2,1,24,8430.2,22.32,0.1,3.9
8,1263,2,1,24,8480.95,22.32,0.09,3.91
9,331,12,1,24,10720.93,22.68,0.07,3.93
10,332,12,1,24,8371.67,22.68,0.1,3.9
11,333,12,1,24,10745.78,22.68,0.07,3.93
12,1263,12,1,24,5691.41,22.68,0.14,3.86
13,331,24,1,24,5473.27,21.66,0.15,3.85
14,332,24,1,24,4886.06,21.66,0.16,3.84
15,333,24,1,24,6029.53,21.66,0.13,3.87
16,1263,24,1,24,4408.82,21.66,0.18,3.82
17,331,36,1,24,2516.26,23.18,0.32,3.68
18,332,36,1,24,2210.98,23.18,0.37,3.63
19,333,36,1,24,3177.19,23.18,0.25,3.75
20,1263,36,1,24,3519.49,23.18,0.23,3.77
21,331,0,2,24,7370.83,23.08,0.11,3.89
22,332,0,2,24,2630.15,23.08,0.31,3.69
23,333,0,2,24,8143.49,23.08,0.1,3.9
24,1263,0,2,24,9502.27,23.08,0.08,3.92
25,331,2,2,24,9136.44,22.32,0.09,3.91
26,332,2,2,24,6655.09,22.32,0.12,3.88
27,333,2,2,24,9428.59,22.32,0.09,3.91
28,1263,2,2,24,8797.22,22.32,0.09,3.91
29,331,12,2,24,10322.75,22.68,0.08,3.92
30,332,12,2,24,8143.84,22.68,0.1,3.9
31,333,12,2,24,9762.58,22.68,0.08,3.92
32,1263,12,2,24,4169.24,22.68,0.19,3.81
33,331,24,2,24,5657.22,21.66,0.14,3.86
34,332,24,2,24,4365.38,21.66,0.18,3.82
35,333,24,2,24,5340.63,21.66,0.15,3.85
36,1263,24,2,24,3880.68,21.66,0.21,3.79
37,331,36,2,24,2552.19,23.18,0.32,3.68
38,332,36,2,24,2151.92,23.18,0.38,3.62
39,333,36,2,24,3267.56,23.18,0.25,3.75
40,1263,36,2,24,4643.79,23.18,0.17,3.83
41,331,0,3,24,6691.34,23.08,0.12,3.88
42,332,0,3,24,2539.24,23.08,0.32,3.68
43,333,0,3,24,6211.93,23.08,0.13,3.87
44,1263,0,3,24,9743.95,23.08,0.08,3.92
45,331,2,3,24,9518.19,22.32,0.08,3.92
46,332,2,3,24,4532.72,22.32,0.18,3.82
47,333,2,3,24,9815.29,22.32,0.08,3.92
48,1263,2,3,24,9062.27,22.32,0.09,3.91
49,331,12,3,24,9892.18,22.68,0.08,3.92
50,332,12,3,24,7389.47,22.68,0.11,3.89
51,333,12,3,24,11257.52,22.68,0.07,3.93
52,1263,12,3,24,6497.52,22.68,0.12,3.88
53,331,24,3,24,5614.15,21.66,0.14,3.86
54,332,24,3,24,4612.55,21.66,0.17,3.83
55,333,24,3,24,5362.16,21.66,0.15,3.85
56,1263,24,3,24,9032.76,21.66,0.09,3.91
57,331,36,3,24,2457.53,23.18,0.33,3.67
58,332,36,3,24,2302.59,23.18,0.35,3.65
59,333,36,3,24,3329.71,23.18,0.24,3.76
60,1263,36,3,24,4963.27,23.18,0.16,3.84
