,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,P,6925.38,21.18,0.12,3.88
2,332,0,1,P,2962.1,21.18,0.27,3.73
3,333,0,1,P,7897.1,21.18,0.1,3.9
4,1263,0,1,P,8451.03,21.18,0.09,3.91
5,331,2,1,P,8598.61,19.26,0.09,3.91
6,332,2,1,P,5519.38,19.26,0.15,3.85
7,333,2,1,P,9564.87,19.26,0.08,3.92
8,1263,2,1,P,10115.88,19.26,0.08,3.92
9,331,12,1,P,10721.38,20.51,0.07,3.93
10,332,12,1,P,7416,20.51,0.11,3.89
11,333,12,1,P,13379.65,20.51,0.06,3.94
12,1263,12,1,P,4723.2,20.51,0.17,3.83
13,331,24,1,P,5934.72,16.74,0.14,3.86
14,332,24,1,P,5978.06,16.74,0.13,3.87
15,333,24,1,P,6387.93,16.74,0.13,3.87
16,1263,24,1,P,7632.22,16.74,0.11,3.89
17,331,36,1,P,2135.35,17.26,0.38,3.62
18,332,36,1,P,2592.32,17.26,0.31,3.69
19,333,36,1,P,1179.03,17.26,0.69,3.31
20,1263,36,1,P,2905.95,17.26,0.28,3.72
21,331,0,2,P,7505.72,21.18,0.11,3.89
22,332,0,2,P,2735.7,21.18,0.29,3.71
23,333,0,2,P,7803.73,21.18,0.1,3.9
24,1263,0,2,P,11188.86,21.18,0.07,3.93
25,331,2,2,P,8233.27,19.26,0.1,3.9
26,332,2,2,P,5421.25,19.26,0.15,3.85
27,333,2,2,P,7882.68,19.26,0.1,3.9
28,1263,2,2,P,8248.62,19.26,0.1,3.9
29,331,12,2,P,10020.21,20.51,0.08,3.92
30,332,12,2,P,8742.79,20.51,0.09,3.91
31,333,12,2,P,13662.67,20.51,0.06,3.94
32,1263,12,2,P,7463.2,20.51,0.11,3.89
33,331,24,2,P,6978.97,16.74,0.11,3.89
34,332,24,2,P,5085.97,16.74,0.16,3.84
35,333,24,2,P,6698.77,16.74,0.12,3.88
36,1263,24,2,P,4376.89,16.74,0.18,3.82
37,331,36,2,P,1879.47,17.26,0.43,3.57
38,332,36,2,P,2790.02,17.26,0.29,3.71
39,333,36,2,P,2168.77,17.26,0.37,3.63
40,1263,36,2,P,4128.81,17.26,0.19,3.81
41,331,0,3,P,7977.36,21.18,0.1,3.9
42,332,0,3,P,3232.64,21.18,0.25,3.75
43,333,0,3,P,9547.49,21.18,0.08,3.92
44,1263,0,3,P,11335.3,21.18,0.07,3.93
45,331,2,3,P,11185.99,19.26,0.07,3.93
46,332,2,3,P,5799.33,19.26,0.14,3.86
47,333,2,3,P,9806.28,19.26,0.08,3.92
48,1263,2,3,P,10762.85,19.26,0.07,3.93
49,331,12,3,P,13777.93,20.51,0.06,3.94
50,332,12,3,P,8337.5,20.51,0.1,3.9
51,333,12,3,P,14700.56,20.51,0.05,3.95
52,1263,12,3,P,5550.86,20.51,0.14,3.86
53,331,24,3,P,7089.24,16.74,0.11,3.89
54,332,24,3,P,5030.46,16.74,0.16,3.84
55,333,24,3,P,5700.96,16.74,0.14,3.86
56,1263,24,3,P,3254.31,16.74,0.25,3.75
57,331,36,3,P,2731.81,17.26,0.29,3.71
58,332,36,3,P,2981.75,17.26,0.27,3.73
59,333,36,3,P,1462.26,17.26,0.55,3.45
60,1263,36,3,P,3430.88,17.26,0.23,3.77
