,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,22,6086.61,22.46,0.13,3.87
2,332,0,1,22,2054.34,22.46,0.39,3.61
3,333,0,1,22,6999.1,22.46,0.11,3.89
4,1263,0,1,22,11050.69,22.46,0.07,3.93
5,331,2,1,22,11053.42,19.79,0.07,3.93
6,332,2,1,22,5615.2,19.79,0.14,3.86
7,333,2,1,22,9745.24,19.79,0.08,3.92
8,1263,2,1,22,11048.89,19.79,0.07,3.93
9,331,12,1,22,10762.84,21.48,0.07,3.93
10,332,12,1,22,8909.72,21.48,0.09,3.91
11,333,12,1,22,13419.08,21.48,0.06,3.94
12,1263,12,1,22,6816.64,21.48,0.12,3.88
13,331,24,1,22,6226.95,20.41,0.13,3.87
14,332,24,1,22,5666.27,20.41,0.14,3.86
15,333,24,1,22,5753.38,20.41,0.14,3.86
16,1263,24,1,22,2778.52,20.41,0.29,3.71
17,331,36,1,22,2962.41,20.8,0.27,3.73
18,332,36,1,22,2465.36,20.8,0.33,3.67
19,333,36,1,22,3660.5,20.8,0.22,3.78
20,1263,36,1,22,2288.27,20.8,0.35,3.65
21,331,0,2,22,6416.66,22.46,0.13,3.87
22,332,0,2,22,2811.15,22.46,0.29,3.71
23,333,0,2,22,7262.95,22.46,0.11,3.89
24,1263,0,2,22,10720.36,22.46,0.07,3.93
25,331,2,2,22,8740.28,19.79,0.09,3.91
26,332,2,2,22,5967.19,19.79,0.13,3.87
27,333,2,2,22,9254.49,19.79,0.09,3.91
28,1263,2,2,22,9417.39,19.79,0.09,3.91
29,331,12,2,22,11924.93,21.48,0.07,3.93
30,332,12,2,22,9286.68,21.48,0.09,3.91
31,333,12,2,22,10129.86,21.48,0.08,3.92
32,1263,12,2,22,5699.34,21.48,0.14,3.86
33,331,24,2,22,6412.19,20.41,0.13,3.87
34,332,24,2,22,5341.16,20.41,0.15,3.85
35,333,24,2,22,7170.89,20.41,0.11,3.89
36,1263,24,2,22,5234.84,20.41,0.15,3.85
37,331,36,2,22,2800.98,20.8,0.29,3.71
38,332,36,2,22,2931.74,20.8,0.27,3.73
39,333,36,2,22,3547.36,20.8,0.23,3.77
40,1263,36,2,22,3046.63,20.8,0.26,3.74
41,331,0,3,22,6795.86,22.46,0.12,3.88
42,332,0,3,22,2440.9,22.46,0.33,3.67
43,333,0,3,22,6749.62,22.46,0.12,3.88
44,1263,0,3,22,11038.16,22.46,0.07,3.93
45,331,2,3,22,10679.14,19.79,0.08,3.92
46,332,2,3,22,5351.04,19.79,0.15,3.85
47,333,2,3,22,10390.75,19.79,0.08,3.92
48,1263,2,3,22,8143.33,19.79,0.1,3.9
49,331,12,3,22,12925.77,21.48,0.06,3.94
50,332,12,3,22,7987.05,21.48,0.1,3.9
51,333,12,3,22,11903.06,21.48,0.07,3.93
52,1263,12,3,22,7875.96,21.48,0.1,3.9
53,331,24,3,22,6533.95,20.41,0.12,3.88
54,332,24,3,22,5260.92,20.41,0.15,3.85
55,333,24,3,22,5028.73,20.41,0.16,3.84
56,1263,24,3,22,2661.47,20.41,0.3,3.7
57,331,36,3,22,2462.34,20.8,0.33,3.67
58,332,36,3,22,2883,20.8,0.28,3.72
59,333,36,3,22,3122.6,20.8,0.26,3.74
60,1263,36,3,22,5309.89,20.8,0.15,3.85
