,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,N,13640.39,20.62,0.06,3.94
2,332,0,1,N,6841.07,20.62,0.12,3.88
3,333,0,1,N,11516.39,20.62,0.07,3.93
4,1263,0,1,N,14093.14,20.62,0.06,3.94
5,331,2,1,N,15708.97,17.45,0.05,3.95
6,332,2,1,N,9118.62,17.45,0.09,3.91
7,333,2,1,N,16573.84,17.45,0.05,3.95
8,1263,2,1,N,18078.93,17.45,0.04,3.96
9,331,12,1,N,21360.63,17.36,0.04,3.96
10,332,12,1,N,12749.86,17.36,0.06,3.94
11,333,12,1,N,22452.36,17.36,0.04,3.96
12,1263,12,1,N,12624.64,17.36,0.06,3.94
13,331,24,1,N,7757.96,17.03,0.1,3.9
14,332,24,1,N,11904.44,17.03,0.07,3.93
15,333,24,1,N,6958.6,17.03,0.12,3.88
16,1263,24,1,N,16612.16,17.03,0.05,3.95
17,331,36,1,N,4131.57,18.26,0.19,3.81
18,332,36,1,N,4306.12,18.26,0.19,3.81
19,333,36,1,N,3318.48,18.26,0.24,3.76
20,1263,36,1,N,10317.54,18.26,0.08,3.92
21,331,0,2,N,12514.24,20.62,0.06,3.94
22,332,0,2,N,4493.65,20.62,0.18,3.82
23,333,0,2,N,11439.94,20.62,0.07,3.93
24,1263,0,2,N,15221.14,20.62,0.05,3.95
25,331,2,2,N,16720.91,17.45,0.05,3.95
26,332,2,2,N,10441.63,17.45,0.08,3.92
27,333,2,2,N,16909.78,17.45,0.05,3.95
28,1263,2,2,N,17557.56,17.45,0.05,3.95
29,331,12,2,N,23124.5,17.36,0.03,3.97
30,332,12,2,N,14564.75,17.36,0.05,3.95
31,333,12,2,N,23151.2,17.36,0.03,3.97
32,1263,12,2,N,13121.88,17.36,0.06,3.94
33,331,24,2,N,9168.32,17.03,0.09,3.91
34,332,24,2,N,10929.27,17.03,0.07,3.93
35,333,24,2,N,8313.31,17.03,0.1,3.9
36,1263,24,2,N,10255.03,17.03,0.08,3.92
37,331,36,2,N,3089.52,18.26,0.26,3.74
38,332,36,2,N,5783.35,18.26,0.14,3.86
39,333,36,2,N,3089,18.26,0.26,3.74
40,1263,36,2,N,12630.13,18.26,0.06,3.94
41,331,0,3,N,13258.87,20.62,0.06,3.94
42,332,0,3,N,3716.82,20.62,0.22,3.78
43,333,0,3,N,14029.08,20.62,0.06,3.94
44,1263,0,3,N,16114.88,20.62,0.05,3.95
45,331,2,3,N,18849.25,17.45,0.04,3.96
46,332,2,3,N,10782.8,17.45,0.07,3.93
47,333,2,3,N,22886.75,17.45,0.03,3.97
48,1263,2,3,N,19310.93,17.45,0.04,3.96
49,331,12,3,N,24339.9,17.36,0.03,3.97
50,332,12,3,N,16856.43,17.36,0.05,3.95
51,333,12,3,N,24091.36,17.36,0.03,3.97
52,1263,12,3,N,20807.77,17.36,0.04,3.96
53,331,24,3,N,9161.32,17.03,0.09,3.91
54,332,24,3,N,12502.84,17.03,0.06,3.94
55,333,24,3,N,8802.53,17.03,0.09,3.91
56,1263,24,3,N,25946.48,17.03,0.03,3.97
57,331,36,3,N,3471.78,18.26,0.23,3.77
58,332,36,3,N,6189.54,18.26,0.13,3.87
59,333,36,3,N,3163.2,18.26,0.25,3.75
60,1263,36,3,N,12704.77,18.26,0.06,3.94
