,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,M,7365.85,18.2,0.11,3.89
2,332,0,1,M,345.48,18.2,2.44,1.56
3,333,0,1,M,7051.34,18.2,0.11,3.89
4,1263,0,1,M,7857.59,18.2,0.1,3.9
5,331,2,1,M,12395.11,17.85,0.06,3.94
6,332,2,1,M,7002.52,17.85,0.11,3.89
7,333,2,1,M,11265.09,17.85,0.07,3.93
8,1263,2,1,M,9746.44,17.85,0.08,3.92
9,331,12,1,M,13684.14,18.36,0.06,3.94
10,332,12,1,M,10929.62,18.36,0.07,3.93
11,333,12,1,M,13277.1,18.36,0.06,3.94
12,1263,12,1,M,9184.32,18.36,0.09,3.91
13,331,24,1,M,5414.34,16.84,0.15,3.85
14,332,24,1,M,8754.72,16.84,0.09,3.91
15,333,24,1,M,4010.61,16.84,0.2,3.8
16,1263,24,1,M,8167.77,16.84,0.1,3.9
17,331,36,1,M,3085.59,16.58,0.26,3.74
18,332,36,1,M,3760.94,16.58,0.21,3.79
19,333,36,1,M,3593.18,16.58,0.22,3.78
20,1263,36,1,M,6927.82,16.58,0.12,3.88
21,331,0,2,M,6783.84,18.2,0.12,3.88
22,332,0,2,M,1739.46,18.2,0.46,3.54
23,333,0,2,M,7477,18.2,0.11,3.89
24,1263,0,2,M,7549.45,18.2,0.11,3.89
25,331,2,2,M,10191.99,17.85,0.08,3.92
26,332,2,2,M,5550.98,17.85,0.14,3.86
27,333,2,2,M,9829.1,17.85,0.08,3.92
28,1263,2,2,M,8458.94,17.85,0.09,3.91
29,331,12,2,M,13606.65,18.36,0.06,3.94
30,332,12,2,M,9805.39,18.36,0.08,3.92
31,333,12,2,M,10201.14,18.36,0.08,3.92
32,1263,12,2,M,7814.16,18.36,0.1,3.9
33,331,24,2,M,4597.89,16.84,0.17,3.83
34,332,24,2,M,8802.88,16.84,0.09,3.91
35,333,24,2,M,4093.46,16.84,0.2,3.8
36,1263,24,2,M,7198.51,16.84,0.11,3.89
37,331,36,2,M,3337.42,16.58,0.24,3.76
38,332,36,2,M,4138.41,16.58,0.19,3.81
39,333,36,2,M,2692.87,16.58,0.3,3.7
40,1263,36,2,M,5532.16,16.58,0.15,3.85
41,331,0,3,M,6738.45,18.2,0.12,3.88
42,332,0,3,M,928.9,18.2,0.88,3.12
43,333,0,3,M,5822.86,18.2,0.14,3.86
44,1263,0,3,M,8262,18.2,0.1,3.9
45,331,2,3,M,13548.46,17.85,0.06,3.94
46,332,2,3,M,5565.12,17.85,0.14,3.86
47,333,2,3,M,11018.04,17.85,0.07,3.93
48,1263,2,3,M,8292.95,17.85,0.1,3.9
49,331,12,3,M,12786.79,18.36,0.06,3.94
50,332,12,3,M,9503.36,18.36,0.08,3.92
51,333,12,3,M,11202.23,18.36,0.07,3.93
52,1263,12,3,M,8742.08,18.36,0.09,3.91
53,331,24,3,M,4465.67,16.84,0.18,3.82
54,332,24,3,M,7314.72,16.84,0.11,3.89
55,333,24,3,M,2906.81,16.84,0.28,3.72
56,1263,24,3,M,8003.54,16.84,0.1,3.9
57,331,36,3,M,3620.44,16.58,0.22,3.78
58,332,36,3,M,3223.56,16.58,0.25,3.75
59,333,36,3,M,2276.06,16.58,0.35,3.65
60,1263,36,3,M,6382.02,16.58,0.13,3.87
